,Unnamed: 0,City,Client Group,Contact Method,Country,Date Closed,Language,Month,Organization,Postal/Zip Code,Prog. Area,Program,Prov/State,Reason for Enquiry,Resolution,SRT #,SRT Status,Sector,Topic
814,814,,Federal Government,Telephone,Canada,2019-01-28,English,Jan,Federal Government,,,Public Services and Procurement Canada,Ontario,Requires Expert Information,Completed,497540,Closed,,Innovation
815,815,,Not-for-profit Corporations,Telephone,Canada,2019-01-28,French,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Québec,Requires Expert Information,Completed,496446,Closed,Innovation Canada,Innovation
817,817,,Company,Telephone,Canada,2019-01-28,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Québec,Status Update,Referral (Internal),496856,Closed,Innovation Canada,Innovation
827,827,,Company,Telephone,Canada,2019-01-25,French,Jan,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Québec,"Obtain Official Document
Requires Expert Information",Referral (Internal),498513,Closed,Small Business Tourism and Marketplace Services,Corporations
829,829,,Individual,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,Registration,IC Registration,British Columbia,Problem (Non-Technical),Completed,498515,Closed,Communications and Marketing Branch,Other
832,832,,Company,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada
Provincial Government",,Change of Registered Office Address,"Corporations Canada (CC)
Alberta
Quebec",Québec,"Problem (Non-Technical)
Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,498493,Closed,"Small Business Tourism and Marketplace Services
",Corporations
841,841,,Entrepreneur,Telephone,Canada,2019-01-25,French,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Québec,Problem (Non-Technical),Completed,498505,Closed,Innovation Canada,Innovation
842,842,,Company,Telephone,Canada,2019-01-25,French,Jan,"Innovation, Science and Economic Development Canada",,File an Annual Return,Corporations Canada (CC),Québec,Problem (Non-Technical),Referral (Internal),498528,Closed,Small Business Tourism and Marketplace Services,Corporations
846,846,,Individual,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Ontario,Requires Expert Information,Completed,498531,Closed,Innovation Canada,Innovation
848,848,,Company,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,Corporation Key,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),498522,Closed,Small Business Tourism and Marketplace Services,Corporations
849,849,,Company,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Ontario,Requires Information on a Procedure,Completed,498526,Closed,Innovation Canada,Innovation
876,876,,Individual,Telephone,Canada,2019-01-25,English,Jan,Enterprises,,,Private Enterprise,Ontario,Misdirected to Industry Canada,Completed,498400,Closed,,Other
885,885,,Company,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,"Change of Registered Office Address
Changes Regarding Directors",Corporations Canada (CC),Ontario,"Requires Expert Information
Status Update",Referral (Internal),498391,Closed,Small Business Tourism and Marketplace Services,Corporations
892,892,,Unknown,Telephone,Unknown,2019-01-25,English,Jan,Not Applicable,,,Not Applicable,,Other,Completed,498409,Closed,,Other
901,901,,Professional Services,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),498481,Closed,Small Business Tourism and Marketplace Services,Corporations
920,920,,Individual,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,"Password
Registration",IC Registration,Saskatchewan,Problem (Non-Technical),Completed,498451,Closed,Communications and Marketing Branch,Other
922,922,,Company,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),498454,Closed,Small Business Tourism and Marketplace Services,Corporations
923,923,,Individual,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,NUANS,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),498453,Closed,Small Business Tourism and Marketplace Services,Corporations
927,927,,Unknown,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,NUANS,Corporations Canada (CC),Alberta,Requires Expert Information,Referral (Internal),498446,Closed,Small Business Tourism and Marketplace Services,Corporations
931,931,,Company,Telephone,Canada,2019-01-25,French,Jan,"Innovation, Science and Economic Development Canada",,,Other,Québec,Requires Information on a Procedure,Completed,498465,Closed,,Innovation
932,932,,Individual,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Alberta,Requires Expert Information,Completed,498455,Closed,Innovation Canada,Innovation
933,933,,Company,Telephone,Canada,2019-01-25,French,Jan,Provincial Government,,Incorporate a Business,Ontario,Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,498458,Closed,,Corporations
3419,3419,,Individual,Telephone,Canada,2019-01-31,English,Jan,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Ontario,Requires Expert Information,Completed,495614,Closed,Innovation Canada,Innovation
3445,3445,,Other Government,Telephone,United Kingdom,2019-01-30,English,Jan,Enterprises,,,Private Enterprise,,Advertising/Marketing,Referral (Internal),496008,Closed,,Other
3456,3456,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Information on a Procedure,Completed,487695,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
3457,3457,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),487812,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
3458,3458,,Professional Services,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),487743,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
3459,3459,,Company,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,"Other
Requires Information on a Procedure
Requires Navigational Aid",Completed,487043,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
3460,3460,,Company,Telephone,Canada,2019-01-29,English,Jan,"Innovation, Science and Economic Development Canada",,Stream 2,Strategic Innovation Fund,Ontario,Status Update,Completed,498747,Closed,Innovation Canada,Innovation
3461,3461,,Company,Telephone,Canada,2019-01-29,English,Jan,"Innovation, Science and Economic Development Canada",,"File an Annual Return
Other",Corporations Canada (CC),Québec,"Requires Information on a Procedure
Requires Navigational Aid
Requires Expert Information",Completed,498757,Closed,Small Business Tourism and Marketplace Services,Corporations
3462,3462,,Company,Telephone,Canada,2019-01-28,French,Jan,"Innovation, Science and Economic Development Canada",,"Change of Registered Office Address
Dissolve a Corporation",Corporations Canada (CC),Québec,"Requires Expert Information
Requires Navigational Aid",Partial Resolution + Internal,498704,Closed,Small Business Tourism and Marketplace Services,Corporations
3469,3469,,Individual,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Alberta,Requires Contact Information,Completed,498529,Closed,Innovation Canada,Innovation
3470,3470,,Company,Telephone,Canada,2019-01-25,French,Jan,"Innovation, Science and Economic Development Canada",,Amend Articles of the Corporation,Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,498380,Closed,Small Business Tourism and Marketplace Services,Corporations
3471,3471,,Company,Telephone,Canada,2019-01-25,English,Jan,"Innovation, Science and Economic Development Canada",,Search for a Federal Corporation,Corporations Canada (CC),Ontario,"Requires Information on a Procedure
Requires Navigational Aid",Completed,498202,Closed,Small Business Tourism and Marketplace Services,Corporations
3613,3613,,Individual,Telephone,Canada,2019-01-30,English,Jan,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services
Innovation Canada Platform",Ontario,"Requires Information on a Procedure
Requires Navigational Aid
Requires Expert Information",Referral (Internal),488174,Closed,"Small Business Tourism and Marketplace Services
Innovation Canada","Financing
Industries and business"
3627,1,,Company,Telephone,Canada,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada",,Dissolve a Corporation,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),500931,Closed,Small Business Tourism and Marketplace Services,Corporations
3647,21,,Company,Telephone,Canada,2019-02-28,French,Feb,Federal Government,,,Canada Revenue Agency (CRA),Québec,Requires Expert Information,Referral (External),503030,Closed,,Other
3653,27,,Company,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,Changes Regarding Directors,Corporations Canada (CC),Ontario,"Requires Information on a Procedure
Requires Expert Information",Completed,503037,Closed,Small Business Tourism and Marketplace Services,Corporations
3664,38,,Entrepreneur,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,British Columbia,"Requires Information on a Procedure
Requires Expert Information",Partial Resolution + Internal,503069,Closed,Innovation Canada,Innovation
3679,53,,Company,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),502986,Closed,Small Business Tourism and Marketplace Services,Corporations
3695,69,,Company,Telephone,Canada,2019-02-28,French,Feb,"Innovation, Science and Economic Development Canada",,Amend Articles of the Corporation,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),503018,Closed,Small Business Tourism and Marketplace Services,Corporations
3696,70,,Professional Services,Telephone,Canada,2019-02-28,French,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Québec,"Requires Information on a Procedure
Requires Expert Information",Partial Resolution + Internal,503020,Closed,Small Business Tourism and Marketplace Services,Corporations
3697,71,,Entrepreneur,Telephone,Canada,2019-02-28,English,Feb,Federal Government,,,Public Services and Procurement Canada,Ontario,Requires Information on a Procedure,Completed,503005,Closed,,Other
3701,75,,Company,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,"Other
NUANS","Canada Small Business Financing Program (CSBFP)
Connecting Families
Corporations Canada (CC)",Ontario,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,503027,Closed,"Small Business Tourism and Marketplace Services
Digital Transformation Service Sector",Corporations
3704,78,,Individual,Telephone,Canada,2019-02-28,French,Feb,"Innovation, Science and Economic Development Canada",,Stream 4,Strategic Innovation Fund,,Requires Expert Information,Completed,503024,Closed,Innovation Canada,Innovation
3708,82,,Individual,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada
Provincial Government",,Other,"Corporations Canada (CC)
Ontario",Ontario,"Requires Expert Information
Requires Information on a Procedure","Partial Resolution + Internal
Referral (External)",502997,Closed,Small Business Tourism and Marketplace Services,Corporations
3719,93,,Company,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,Requires Information on a Procedure,Completed,503136,Closed,Small Business Tourism and Marketplace Services,Corporations
3720,94,,Individual,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,Amend Articles of the Corporation,Corporations Canada (CC),Ontario,Requires Information on a Procedure,Completed,503145,Closed,Small Business Tourism and Marketplace Services,Corporations
3731,105,,Company,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,File an Annual Return,Corporations Canada (CC),Ontario,"Requires Information on a Procedure
Requires Navigational Aid",Completed,503134,Closed,Small Business Tourism and Marketplace Services,Corporations
3734,108,,Individual,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,,Unknown,Québec,Requires Information on a Procedure,Completed,503131,Closed,,Other
3735,109,,Company,Telephone,Canada,2019-02-28,French,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Québec,Requires Expert Information,Completed,503163,Closed,Small Business Tourism and Marketplace Services,Corporations
3746,120,,Company,Telephone,Canada,2019-02-28,French,Feb,"Innovation, Science and Economic Development Canada",,"Change of Registered Office Address
Changes Regarding Directors",Corporations Canada (CC),,"Requires Information on a Procedure
Requires Navigational Aid",Completed,503153,Closed,Small Business Tourism and Marketplace Services,Corporations
3749,123,,Professional Services,Telephone,Canada,2019-02-28,French,Feb,"Innovation, Science and Economic Development Canada",,Revive a Corporation,Corporations Canada (CC),Québec,Requires Information on a Procedure,Completed,503150,Closed,Small Business Tourism and Marketplace Services,Corporations
3755,129,,Company,Telephone,Canada,2019-02-28,French,Feb,"Innovation, Science and Economic Development Canada",,Dissolve a Corporation,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),503155,Closed,Small Business Tourism and Marketplace Services,Corporations
3778,152,,Innovation Science and Economic Development Canada,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,Human Resources,Corporate Management Sector (CMS),Ontario,Requires Expert Information,Referral (Internal),503116,Closed,Office of the Deputy Minister,Innovation
3785,159,,Company,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),503118,Closed,Small Business Tourism and Marketplace Services,Corporations
3789,163,,Individual,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),503100,Closed,Small Business Tourism and Marketplace Services,Corporations
3804,178,,Company,Telephone,Canada,2019-02-28,English,Feb,Provincial Government,,,Alberta,Alberta,Requires Expert Information,Referral (External),502901,Closed,,Corporations
3818,192,,Company,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,File an Annual Return,Corporations Canada (CC),British Columbia,"Requires Information on a Procedure
Requires Navigational Aid
Technical Problem",Completed,502868,Closed,Small Business Tourism and Marketplace Services,Corporations
3822,196,,Individual,Telephone,Canada,2019-02-28,French,Feb,"Innovation, Science and Economic Development Canada
Federal Government",,Quebec,"Spectrum Management and Telecommunications
Canadian Radio-television Telecommunications Commission (CRTC)",Québec,Requires Expert Information,"Referral (External)
Referral (Internal)",502888,Closed,"Spectrum Information Technologies and Telecommunications
",Other
3823,197,,Individual,Telephone,Canada,2019-02-28,French,Feb,"Innovation, Science and Economic Development Canada",,Telephone Directory,The Department,Québec,Requires Contact Information,Completed,502887,Closed,,Other
3831,205,,Individual,Telephone,Canada,2019-02-28,English,Feb,Enterprises,,,Private Enterprise,British Columbia,Requires Contact Information,Completed,502885,Closed,,Other
3834,208,,Not-for-profit Corporations,Telephone,Canada,2019-02-28,French,Feb,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),502969,Closed,Small Business Tourism and Marketplace Services,Corporations
3838,212,,Company,Telephone,Canada,2019-02-28,French,Feb,"Innovation, Science and Economic Development Canada",,NUANS,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),502947,Closed,Small Business Tourism and Marketplace Services,Corporations
3841,215,,Company,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,"Requires Expert Information
Technical Problem",Referral (Internal),502959,Closed,Small Business Tourism and Marketplace Services,Corporations
3848,222,,Company,Telephone,Canada,2019-02-28,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),502962,Closed,Small Business Tourism and Marketplace Services,Corporations
3857,231,,Individual,Telephone,Canada,2019-02-28,French,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,Requires Expert Information,Completed,502915,Closed,Small Business Tourism and Marketplace Services,Corporations
3877,251,,Individual,Telephone,Unknown,2019-02-27,English,Feb,Federal Government,,,Canada Revenue Agency (CRA),,Requires Expert Information,Referral (External),502696,Closed,,Other
3884,258,,Company,Telephone,Canada,2019-02-27,French,Feb,"Innovation, Science and Economic Development Canada",,Revive a Corporation,Corporations Canada (CC),Québec,Requires Information on a Procedure,Completed,502702,Closed,Small Business Tourism and Marketplace Services,Corporations
3916,290,,Federal Government,Telephone,Canada,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,"ISED Employee Information Line
Human Resources","Communications and Marketing Branch (CMB)
Corporate Management Sector (CMS)",Ontario,Requires Information on a Procedure,Completed,502708,Closed,Office of the Deputy Minister,Other
3917,291,,Company,Telephone,Canada,2019-02-27,French,Feb,"Innovation, Science and Economic Development Canada",,"NUANS
Pre-Approve a Corporate Name",Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,502707,Closed,Small Business Tourism and Marketplace Services,Corporations
3924,298,,Individual,Telephone,Canada,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,,Other,Ontario,Requires Expert Information,Referral (Internal),502715,Closed,,Other
3930,304,,Company,Telephone,Canada,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),502627,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
3933,307,,Individual,Telephone,Unknown,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Canadian Intellectual Property Office (CIPO),,Requires Contact Information,Completed,502651,Closed,Canadian Intellectual Property Office,Other
3934,308,,Company,Telephone,Canada,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,Connect to Innovate,Spectrum Management and Telecommunications,Ontario,"Requires Information on a Procedure
Requires Navigational Aid",Completed,502654,Closed,Spectrum Information Technologies and Telecommunications,Innovation
3954,328,,Individual,Telephone,Nigeria,2019-02-27,English,Feb,Federal Government,,,"Immigration, Refugees and Citizenship Canada",,Search for Employment,Referral (External),502623,Closed,,Other
3963,337,,Company,Telephone,Canada,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Ontario,"Obtain Official Document
Requires Expert Information",Referral (Internal),502674,Closed,Small Business Tourism and Marketplace Services,Corporations
3975,349,,Individual,Telephone,Nigeria,2019-02-27,English,Feb,Federal Government,,,"Immigration, Refugees and Citizenship Canada",,Search for Employment,Referral (External),502595,Closed,,Other
3977,351,,Company,Telephone,Canada,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,Dissolve a Corporation,Corporations Canada (CC),Québec,"Requires Navigational Aid
Requires Information on a Procedure",Completed,502663,Closed,Small Business Tourism and Marketplace Services,Corporations
3979,353,,Federal Government,Telephone,Canada,2019-02-27,French,Feb,Federal Government,,,"Canada Revenue Agency (CRA)
Employment and Social Development Canada (ESDC)",Québec,Requires Expert Information,Referral (External),502665,Closed,,Other
3992,366,,Not-for-profit Corporations,Telephone,Canada,2019-02-27,French,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,502806,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
4006,380,,Individual,Telephone,Canada,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Connecting Families,Québec,Requires Information on a Procedure,Completed,502852,Closed,Digital Transformation Service Sector,Other
4009,383,,Not-for-profit Corporations,Telephone,Canada,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",British Columbia,Requires Expert Information,Completed,502839,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
4023,397,,Company,Telephone,Canada,2019-02-27,English,Feb,Provincial Government,,,Ontario,Ontario,Requires Expert Information,Referral (External),502832,Closed,,Corporations
4027,401,,Company,Telephone,Canada,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Requires Expert Information,Referral (Internal),502774,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
4042,416,,Company,Telephone,Canada,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,"Change of Registered Office Address
Changes Regarding Directors
Corporation Key
File an Annual Return",Corporations Canada (CC),Québec,"Requires Navigational Aid
Requires Information on a Procedure",Completed,502758,Closed,Small Business Tourism and Marketplace Services,Corporations
4043,417,,Company,Telephone,Canada,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,Amend Articles of the Corporation,Corporations Canada (CC),Québec,Requires Information on a Procedure,Completed,502760,Closed,Small Business Tourism and Marketplace Services,Corporations
4046,420,,Company,Telephone,Unknown,2019-02-27,English,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",,Status Update,Completed,502763,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
4075,449,,Individual,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,Changes Regarding Directors,Corporations Canada (CC),Alberta,Requires Expert Information,Referral (Internal),502572,Closed,Small Business Tourism and Marketplace Services,Corporations
4078,452,,Entrepreneur,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,NUANS,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,502573,Closed,Small Business Tourism and Marketplace Services,Corporations
4098,472,,Company,Telephone,Canada,2019-02-26,French,Feb,"Innovation, Science and Economic Development Canada",,File an Annual Return,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),502424,Closed,Small Business Tourism and Marketplace Services,Corporations
4104,478,,Company,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,Dissolve a Corporation,Corporations Canada (CC),Ontario,Requires Information on a Procedure,Completed,502413,Closed,Small Business Tourism and Marketplace Services,Corporations
4106,480,,Company,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,Business Number,Corporations Canada (CC),Alberta,Requires Expert Information,Partial Resolution + Internal,502422,Closed,Small Business Tourism and Marketplace Services,Corporations
4115,489,,Individual,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Ontario,"Requires Expert Information
Status Update",Completed,502428,Closed,Innovation Canada,Innovation
4132,506,,Company,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Ontario,"Requires Information on a Procedure
Requires Expert Information",Referral (Internal),502406,Closed,Innovation Canada,Innovation
4133,507,,Company,Telephone,Canada,2019-02-26,French,Feb,"Innovation, Science and Economic Development Canada",,"File an Annual Return
Revive a Corporation",Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,502407,Closed,Small Business Tourism and Marketplace Services,Corporations
4134,508,,Individual,Telephone,Canada,2019-02-26,English,Feb,Provincial Government,,,Ontario,Ontario,Obtain Official Document,Completed,502412,Closed,,Corporations
4135,509,,Company,Telephone,Canada,2019-02-26,French,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),502409,Closed,Small Business Tourism and Marketplace Services,Corporations
4141,515,,Not-for-profit Corporations,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,"Requires Information on a Procedure
Status Update",Completed,502403,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
4148,522,,Individual,Telephone,Canada,2019-02-26,English,Feb,Federal Government,,,Service Canada,Ontario,Other,Referral (External),502494,Closed,,Other
4153,527,,Individual,Telephone,Canada,2019-02-26,English,Feb,Federal Government,,,Employment and Social Development Canada (ESDC),Ontario,Obtain Official Document,Referral (External),502509,Closed,,Other
4155,529,,Individual,Telephone,Canada,2019-02-26,English,Feb,"Federal Government
Innovation, Science and Economic Development Canada",,Other,"Canada Revenue Agency (CRA)
Connecting Families",Ontario,Requires Expert Information,Completed,502512,Closed,Digital Transformation Service Sector,"Internet radio and wireless
Other"
4162,536,,Company,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Prince Edward Island,Status Update,Completed,502464,Closed,Small Business Tourism and Marketplace Services,"Financing
Industries and business"
4166,540,,Individual,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,"Changes Regarding Directors
Obtain Corporation Documents",Corporations Canada (CC),Québec,"Requires Information on a Procedure
Obtain Official Document",Completed,502478,Closed,Small Business Tourism and Marketplace Services,Corporations
4169,543,,Company,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Ontario,"Requires Expert Information
Requires Information on a Procedure",Completed,502469,Closed,Innovation Canada,Innovation
4189,563,,Company,Telephone,Canada,2019-02-26,French,Feb,"Innovation, Science and Economic Development Canada",,Stream 1,Strategic Innovation Fund,Québec,Requires Information on a Procedure,Completed,502553,Closed,Innovation Canada,Innovation
4198,572,,Provincial Government,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,User Name,IC Registration,Ontario,Problem (Non-Technical),Completed,502565,Closed,Communications and Marketing Branch,Other
4207,581,,Entrepreneur,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),502525,Closed,Small Business Tourism and Marketplace Services,Corporations
4222,596,,Individual,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Connecting Families,Ontario,Requires Information on a Procedure,Referral (Internal),502533,Closed,Digital Transformation Service Sector,Other
4225,599,,Company,Telephone,Canada,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),502341,Closed,Small Business Tourism and Marketplace Services,Corporations
4228,602,,Professional Services,Telephone,United States,2019-02-26,English,Feb,"Innovation, Science and Economic Development Canada",,"File an Annual Return
Revive a Corporation
Search for a Federal Corporation",Corporations Canada (CC),,"Requires Information on a Procedure
Requires Navigational Aid","Completed
Referral (Internal)",502260,Closed,Small Business Tourism and Marketplace Services,Corporations
4235,609,,Individual,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,British Columbia,Status Update,Completed,502300,Closed,Innovation Canada,Innovation
4240,614,,Entrepreneur,Telephone,Canada,2019-02-25,English,Feb,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),502302,Closed,Small Business Tourism and Marketplace Services,Corporations
4263,637,,Individual,Telephone,Canada,2019-02-25,French,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Québec,"Requires Contact Information
Requires Expert Information",Referral (Internal),502266,Closed,Small Business Tourism and Marketplace Services,Corporations
4265,639,,Company,Telephone,Canada,2019-02-25,French,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),502263,Closed,Small Business Tourism and Marketplace Services,Corporations
